,district,size,level,max_levels,price
6142,Чиланзарский,32.0,4,4,55400.0
6143,Учтепинский,72.0,1,9,120000.0
6144,Чиланзарский,46.0,4,4,62000.0
6145,Чиланзарский,78.0,3,5,116000.0
6146,Учтепинский,80.0,3,4,111000.0
6147,Учтепинский,108.0,3,3,140000.0
6148,Чиланзарский,135.0,1,4,296000.0
6149,Учтепинский,98.0,4,4,116000.0
6150,Чиланзарский,47.0,1,4,66000.0
6151,Учтепинский,80.0,5,5,106000.0
6152,Чиланзарский,72.0,4,4,100000.0
6153,Яшнободский,52.0,8,9,54000.0
6154,Чиланзарский,98.0,3,9,168000.0
6155,Учтепинский,92.0,3,4,119000.0
6156,Учтепинский,72.0,8,9,80000.0
6157,Учтепинский,80.0,1,4,94000.0
6158,Учтепинский,70.0,5,5,88000.0
6159,Учтепинский,70.0,9,9,88000.0
6160,Учтепинский,50.0,4,4,70000.0
6161,Чиланзарский,52.0,3,4,77800.0
6162,Учтепинский,67.0,3,4,102000.0
6163,Учтепинский,84.0,14,16,98000.0
6164,Учтепинский,60.0,4,4,90000.0
6165,Чиланзарский,33.0,3,4,49000.0
6166,Учтепинский,120.0,1,4,220000.0
6167,Учтепинский,61.0,6,9,74000.0
6168,Учтепинский,50.0,1,4,105000.0
6169,Учтепинский,70.0,4,4,95000.0
6170,Учтепинский,70.0,4,4,83000.0
6171,Чиланзарский,68.0,3,4,115000.0
6172,Чиланзарский,65.0,1,4,86000.0
6173,Чиланзарский,42.0,1,4,83000.0
6174,Чиланзарский,110.0,3,9,156000.0
6175,Чиланзарский,68.0,3,4,100000.0
6176,Чиланзарский,45.0,4,4,64000.0
6177,Чиланзарский,68.0,4,5,110000.0
6178,Чиланзарский,65.0,1,4,96000.0
6179,Чиланзарский,43.0,1,4,64000.0
6180,Чиланзарский,54.0,3,4,91000.0
6181,Чиланзарский,52.0,2,4,113000.0
6182,Чиланзарский,63.0,2,5,93000.0
6183,Мирабадский,135.0,3,9,210000.0
6184,Учтепинский,90.0,5,5,92000.0
6185,Учтепинский,90.0,3,5,116000.0
6186,Учтепинский,92.0,9,9,95000.0
6187,Чиланзарский,80.0,8,9,132000.0
6188,Учтепинский,72.0,1,9,96000.0
6189,Учтепинский,71.0,4,5,134000.0
6190,Чиланзарский,76.0,5,5,98000.0
6191,Чиланзарский,45.0,4,4,73000.0
6192,Учтепинский,137.0,5,5,188000.0
6193,Шайхантахурский,100.0,9,9,136000.0
6194,Шайхантахурский,100.0,2,9,174000.0
6195,Шайхантахурский,57.0,4,5,70000.0
6196,Олмазорский,52.0,1,4,105000.0
6197,Сергелийский,58.0,1,3,82000.0
6198,Юнусабадский,42.0,1,4,106000.0
6199,Учтепинский,28.0,1,4,86000.0
6200,Чиланзарский,90.0,4,4,168000.0
6201,Чиланзарский,64.0,2,4,92000.0
6202,Чиланзарский,66.0,9,9,147000.0
6203,Чиланзарский,55.0,4,4,86000.0
6204,Учтепинский,40.0,2,4,70000.0
6205,Учтепинский,47.0,3,4,64000.0
6206,Учтепинский,53.0,4,4,63000.0
6207,Учтепинский,52.0,2,4,70000.0
6208,Учтепинский,45.0,1,4,70000.0
6209,Учтепинский,50.0,4,4,74000.0
6210,Учтепинский,43.0,2,5,74000.0
6211,Чиланзарский,46.0,3,4,66000.0
6212,Чиланзарский,48.0,2,4,76000.0
6213,Чиланзарский,50.0,2,4,80000.0
6214,Чиланзарский,45.0,3,4,85000.0
6215,Учтепинский,80.0,1,5,130000.0
6216,Чиланзарский,100.0,3,4,114000.0
6217,Чиланзарский,80.0,4,4,103000.0
6218,Чиланзарский,96.0,8,9,115000.0
6219,Чиланзарский,90.0,9,9,106000.0
6220,Чиланзарский,94.0,3,9,238000.0
6221,Учтепинский,80.0,7,9,90000.0
6222,Учтепинский,68.0,3,5,114000.0
6223,Учтепинский,68.0,6,9,88000.0
6224,Чиланзарский,110.0,4,4,157000.0
6225,Учтепинский,65.0,4,5,106000.0
6226,Учтепинский,33.0,8,9,47000.0
6227,Учтепинский,40.0,7,9,45000.0
6228,Учтепинский,56.0,5,5,68000.0
6229,Учтепинский,42.0,1,5,62000.0
6230,Чиланзарский,52.0,4,4,78000.0
6231,Учтепинский,52.0,2,4,82000.0
6232,Учтепинский,47.0,3,5,72000.0
6233,Чиланзарский,40.0,4,4,70000.0
6234,Чиланзарский,65.0,4,9,114400.0
6235,Чиланзарский,69.0,3,4,88000.0
6236,Яккасарайский,60.0,4,5,140000.0
6237,Чиланзарский,65.0,1,4,99000.0
6238,Чиланзарский,32.0,4,4,55000.0
6239,Чиланзарский,70.0,3,5,103000.0
6240,Чиланзарский,46.0,2,4,69000.0
6241,Чиланзарский,67.0,2,4,88000.0
6242,Яккасарайский,58.0,5,5,94000.0
6243,Учтепинский,65.0,3,9,92000.0
6244,Чиланзарский,30.0,2,4,53000.0
6245,Учтепинский,45.0,4,4,63000.0
6246,Учтепинский,58.0,3,9,70000.0
6247,Мирзо-Улугбекский,62.0,1,9,114000.0
6248,Учтепинский,58.0,10,12,72000.0
6249,Чиланзарский,74.0,4,4,106000.0
6250,Чиланзарский,98.0,9,9,106000.0
6251,Чиланзарский,90.0,7,9,190000.0
6252,Чиланзарский,73.0,3,4,132400.0
6253,Чиланзарский,206.0,1,9,380000.0
6254,Чиланзарский,58.0,2,4,81000.0
6255,Учтепинский,66.0,2,5,134000.0
6256,Чиланзарский,63.0,5,9,80600.0
6257,Чиланзарский,65.0,4,4,82000.0
6258,Чиланзарский,42.0,5,9,70000.0
